CRIME_TYPE,Total_Count,Trend_Slope,Severity_Score,Risk_Score,Risk_Level
ANIMAL - Prevention of Cruelty to Animals Act 1960,203.0,0.3333333333333333,1,0.06534323310505076,Medium
ANIMAL - Sub Total,72.0,0.0,1,0.060320242036458235,Medium
ANIMAL - The Karnataka Prevention of Slaughter and Preservation of Cattle Ordinance 2020,109.0,0.9999999999999999,1,0.06304845781091593,Medium
ANIMAL - Video,0.0,0.0,1,0.05782435851102276,Medium
ANIMAL - Wild Life Preservation Act 1972,1.0,0.03333333333333333,1,0.057907210525413,Medium
ANIMAL - Wild Life Protection Act 1972,3.0,-0.16666666666666669,1,0.057687418830786645,Low
ANTIQUES (CULTURAL PROPERTY) - Ancient Monument & Archaelogical Sites And Remains Act 1958,5.0,-0.28448275862068967,1,0.05758643293022747,Low
ANTIQUES (CULTURAL PROPERTY) - Antiques & Art Treasures Act 1972,0.0,0.0,1,0.05782435851102276,Medium
ARMS ACT 1959 - Country Made - Non Prohibited Bore - In Disturbed Area,14.0,0.21666666666666667,1,0.05862288447179215,Medium
ARMS ACT 1960 - Country Made - Non Prohibited Bore - In Other Area,123.0,0.31666666666666665,1,0.0625459357051873,Medium
ARMS ACT 1961 - Country Made - Prohibited Bore - In Disturbed Area,16.0,0.4833333333333334,1,0.05907771029312772,Medium
ARMS ACT 1962 - Country Made - Prohibited Bore - In Other Area,95.0,0.20000000000000004,1,0.061406659955194134,Medium
ARMS ACT 1963 - Factory Made - Non Prohibited Bore - In Disturbed Area,4.0,-0.09999999999999999,1,0.05781845781060273,Low
ARMS ACT 1964 - Factory Made - Non Prohibited Bore - In Other Area,23.0,-0.049999999999999996,1,0.05854937418906475,Medium
ARMS ACT 1965 - Factory Made - Prohibited Bore - In Disturbed Area,7.0,-0.15000000000000002,1,0.05785017250935709,Medium
ARMS ACT 1966 - Factory Made - Prohibited Bore - In Other Area,35.0,-0.35000000000000003,1,0.058531672087804666,Medium
"ARSON (Sec. 435, 436, 438 IPC/326(f),326(g),327(g) BNS) - Agricultural Produce",31.0,-0.9166666666666669,3,0.45757383347970765,High
"ARSON (Sec. 435, 436, 438 IPC/326(f),326(g),327(g) BNS) - Attemp to Commit",0.0,0.0,3,0.45782435851102277,High
"ARSON (Sec. 435, 436, 438 IPC/326(f),326(g),327(g) BNS) - Boat / Ship",0.0,0.0,3,0.45782435851102277,High
"ARSON (Sec. 435, 436, 438 IPC/326(f),326(g),327(g) BNS) - Dwelling House",14.0,0.25,3,0.458671071437218,High
"ARSON (Sec. 435, 436, 438 IPC/326(f),326(g),327(g) BNS) - Educational Institution",1.0,-1.791614702062191e-18,3,0.45785902355998714,High
"ARSON (Sec. 435, 436, 438 IPC/326(f),326(g),327(g) BNS) - Govt. Property",3.0,-0.1166666666666667,3,0.45775969927892546,High
"ARSON (Sec. 435, 436, 438 IPC/326(f),326(g),327(g) BNS) - Industrial Establishment",0.0,0.0,3,0.45782435851102277,High
"ARSON (Sec. 435, 436, 438 IPC/326(f),326(g),327(g) BNS) - Others",83.0,-0.6833333333333336,3,0.4597137247838365,High
"ARSON (Sec. 435, 436, 438 IPC/326(f),326(g),327(g) BNS) - Place of worship",1.0,-0.03333333333333333,3,0.4578108365945613,High
"ARSON (Sec. 435, 436, 438 IPC/326(f),326(g),327(g) BNS) - Public Place",9.0,0.03333333333333334,3,0.4581845309171281,High
"ARSON (Sec. 435, 436, 438 IPC/326(f),326(g),327(g) BNS) - Railway Property",0.0,0.0,3,0.45782435851102277,High
"ARSON (Sec. 435, 436, 438 IPC/326(f),326(g),327(g) BNS) - Vital Installation",0.0,0.0,3,0.45782435851102277,High
"ARSON (Sec. 435, 436, 438 IPC/326(f),326(g),327(g) BNS) - Warehouse (Godown)",2.0,-0.08333333333333336,3,0.4577732211953869,High
"ASSAULT (Sec 356, 357 IPC/134,135 BNS) - Attempt To Commit",5.0,-0.03333333333333332,2,0.25794949679041884,Medium
"ASSAULT (Sec 356, 357 IPC/134,135 BNS) - Member of Legislative Assembly / Council (MLA/MLC)",0.0,0.0,2,0.25782435851102276,Medium
"ASSAULT (Sec 356, 357 IPC/134,135 BNS) - On Contractor",1.0,0.06666666666666667,2,0.25795539749083884,Medium
"ASSAULT (Sec 356, 357 IPC/134,135 BNS) - On Domestic Servant",0.0,0.0,2,0.25782435851102276,Medium
"ASSAULT (Sec 356, 357 IPC/134,135 BNS) - On Labourer",2.0,0.01666666666666666,2,0.25791778209166444,Medium
"ASSAULT (Sec 356, 357 IPC/134,135 BNS) - On Man (General)",12.0,1.433291761649753e-17,2,0.25824033909859534,Medium
"ASSAULT (Sec 356, 357 IPC/134,135 BNS) - On Man (SC)",0.0,0.0,2,0.25782435851102276,Medium
"ASSAULT (Sec 356, 357 IPC/134,135 BNS) - On Man (ST)",0.0,0.0,2,0.25782435851102276,Medium
"ASSAULT (Sec 356, 357 IPC/134,135 BNS) - On Manager/Executive (Other Than Public Servant)",0.0,0.0,2,0.25782435851102276,Medium
"ASSAULT (Sec 356, 357 IPC/134,135 BNS) - On Member of Clergy (Christian, Budhist, Jain, Sikh)",0.0,0.0,2,0.25782435851102276,Medium
"ASSAULT (Sec 356, 357 IPC/134,135 BNS) - On Member of Parliament (MP)",0.0,0.0,2,0.25782435851102276,Medium
"ASSAULT (Sec 356, 357 IPC/134,135 BNS) - On Press",0.0,0.0,2,0.25782435851102276,Medium
"ASSAULT (Sec 356, 357 IPC/134,135 BNS) - On Professional",0.0,0.0,2,0.25782435851102276,Medium
"ASSAULT (Sec 356, 357 IPC/134,135 BNS) - On Public Servant",0.0,0.0,2,0.25782435851102276,Medium
"ASSAULT (Sec 356, 357 IPC/134,135 BNS) - On Student",0.0,0.0,2,0.25782435851102276,Medium
"ASSAULT (Sec 356, 357 IPC/134,135 BNS) - On Teacher",0.0,0.0,2,0.25782435851102276,Medium
"ASSAULT (Sec 356, 357 IPC/134,135 BNS) - On Woman (SC)",0.0,0.0,2,0.25782435851102276,Medium
"ASSAULT (Sec 356, 357 IPC/134,135 BNS) - On Woman (ST)",0.0,0.0,2,0.25782435851102276,Medium
"ASSAULT (Sec 356, 357 IPC/134,135 BNS) - On Women (General)",0.0,0.0,2,0.25782435851102276,Medium
"ASSAULT (Sec 356, 357 IPC/134,135 BNS) - On other Dignitaries /Public Figures",2.0,0.1,2,0.2580382495052291,Medium
ASSAULT OR USE OF CRIMINAL FORCE TO DISROBE WOMEN,4.0,0.016666666666666666,2,0.25798711218959325,Medium
ASSAULT OR USE OF CRIMINAL FORCE TO DISROBE WOMEN - Boy,1.0,0.0,2,0.25785902355998713,Medium
ASSAULT OR USE OF CRIMINAL FORCE TO DISROBE WOMEN - By Govt. Institution,1.0,0.0,2,0.25785902355998713,Medium
ASSAULT OR USE OF CRIMINAL FORCE TO DISROBE WOMEN - By Others,0.0,0.0,2,0.25782435851102276,Medium
ASSAULT OR USE OF CRIMINAL FORCE TO DISROBE WOMEN - By Private Institution,0.0,0.0,2,0.25782435851102276,Medium
ASSAULT OR USE OF CRIMINAL FORCE TO DISROBE WOMEN - Disobedience to Order Promulgated by Public/Servant,0.0,0.0,2,0.25782435851102276,Medium
ASSAULT OR USE OF CRIMINAL FORCE TO DISROBE WOMEN - Eunuch,0.0,0.0,2,0.25782435851102276,Medium
ASSAULT OR USE OF CRIMINAL FORCE TO DISROBE WOMEN - Girl,0.0,0.0,2,0.25782435851102276,Medium
ASSAULT OR USE OF CRIMINAL FORCE TO DISROBE WOMEN - Human Trafficking,0.0,0.0,3,0.45782435851102277,High
ASSAULT OR USE OF CRIMINAL FORCE TO DISROBE WOMEN - Men,1.0,0.0,2,0.25785902355998713,Medium
ASSAULT OR USE OF CRIMINAL FORCE TO DISROBE WOMEN - Sub Total,1.0,0.0,2,0.25785902355998713,Medium
ASSAULT OR USE OF CRIMINAL FORCE TO DISROBE WOMEN - Women,0.0,0.0,2,0.25782435851102276,Medium
ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS) - Adultery,1.0,-0.06666666666666667,3,0.4577626496291355,High
ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS) - Due to Casteism,0.0,0.0,3,0.45782435851102277,High
ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS) - Due to Communalism,0.0,0.0,3,0.45782435851102277,High
ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS) - Due to Other Causes,44.0,0.15000000000000002,3,0.4595664620098719,High
ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS) - Due to Personal Vendetta or enemity,0.0,0.0,3,0.45782435851102277,High
ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS) - Due to Sexual jealousy,0.0,0.0,3,0.45782435851102277,High
ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS) - Electoral Gain,0.0,0.0,3,0.45782435851102277,High
ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS) - For Dowry,0.0,0.0,3,0.45782435851102277,High
ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS) - For Gain,0.0,0.0,3,0.45782435851102277,High
ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS) - For Human Sacrifice,0.0,0.0,3,0.45782435851102277,High
ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS) - For Political Reasons,0.0,0.0,3,0.45782435851102277,High
ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS) - Gang Rivalry,0.0,0.0,3,0.45782435851102277,High
ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS) - Love Intrigue,2.0,0.10000000000000003,3,0.4580382495052291,High
ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS) - Over Civil Dispute,2.0,0.08333333333333334,3,0.45801415602251616,High
ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS) - Professional,0.0,0.0,3,0.45782435851102277,High
ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS) - Property Disputes,0.0,0.0,3,0.45782435851102277,High
ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS) - Sudden Quarrel,6.0,1.433291761649753e-17,3,0.45803234880480903,High
ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS) - Terrorism /Naxalism / Extremism,0.0,0.0,3,0.45782435851102277,High
ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS) - Witch Craft (Sorcery),0.0,0.0,3,0.45782435851102277,High
ATTEMPT TO MURDER (Sec. 307 IPC/109BNS) - Adultery,10.0,0.1166666666666667,3,0.4583396633796571,High
ATTEMPT TO MURDER (Sec. 307 IPC/109BNS) - Civil Disputes,273.0,-0.26666666666666666,3,0.46690242115489217,High
ATTEMPT TO MURDER (Sec. 307 IPC/109BNS) - Dowry By Burning,0.0,0.0,3,0.45782435851102277,High
ATTEMPT TO MURDER (Sec. 307 IPC/109BNS) - Due to Casteism,1.0,0.016666666666666666,3,0.45788311704270007,High
ATTEMPT TO MURDER (Sec. 307 IPC/109BNS) - Due to Communalism,2.0,0.06666666666666668,3,0.45799006253980323,High
ATTEMPT TO MURDER (Sec. 307 IPC/109BNS) - Due to Other Causes,1653.0,-2.016666666666667,3,0.5122103730408816,High
ATTEMPT TO MURDER (Sec. 307 IPC/109BNS) - Due to Personal Vendetta or enemity,58.0,-0.4000000000000001,3,0.45925668776584666,High
ATTEMPT TO MURDER (Sec. 307 IPC/109BNS) - Due to Sexual jealousy,7.0,0.01666666666666666,3,0.4580911073364864,High
ATTEMPT TO MURDER (Sec. 307 IPC/109BNS) - Electoral Gain,0.0,0.0,3,0.45782435851102277,High
ATTEMPT TO MURDER (Sec. 307 IPC/109BNS) - For Dowry other Means,17.0,-0.15000000000000005,3,0.4581968229990009,High
ATTEMPT TO MURDER (Sec. 307 IPC/109BNS) - For Gain,17.0,0.08333333333333333,3,0.4585341317569819,High
ATTEMPT TO MURDER (Sec. 307 IPC/109BNS) - For Human Sacrifice,0.0,0.0,3,0.45782435851102277,High
ATTEMPT TO MURDER (Sec. 307 IPC/109BNS) - For Political Reasons,8.0,0.0,3,0.45810167890273784,High
ATTEMPT TO MURDER (Sec. 307 IPC/109BNS) - Gang Rivalry,2.0,-0.049999999999999996,3,0.45782140816081274,High
ATTEMPT TO MURDER (Sec. 307 IPC/109BNS) - Love Intrigue,18.0,0.1333333333333334,3,0.45864107725408504,High
ATTEMPT TO MURDER (Sec. 307 IPC/109BNS) - Over Property Dispute,60.0,0.30000000000000004,3,0.4603379441377184,High
ATTEMPT TO MURDER (Sec. 307 IPC/109BNS) - Professional,5.0,0.11666666666666667,3,0.45816633813483515,High
ATTEMPT TO MURDER (Sec. 307 IPC/109BNS) - Rape,1.0,-0.03333333333333333,3,0.4578108365945613,High
ATTEMPT TO MURDER (Sec. 307 IPC/109BNS) - Revenge/Enemity,186.0,-0.5000000000000002,3,0.46354925313700995,High
ATTEMPT TO MURDER (Sec. 307 IPC/109BNS) - Sudden Quarrel,250.0,1.7333333333333338,3,0.4689963429542625,High
ATTEMPT TO MURDER (Sec. 307 IPC/109BNS) - Terrorism /Naxalism / Extremism,0.0,0.0,3,0.45782435851102277,High
ATTEMPT TO MURDER (Sec. 307 IPC/109BNS) - Village Dispute,8.0,0.13333333333333336,3,0.45829442676444127,High
ATTEMPT TO MURDER (Sec. 307 IPC/109BNS) - Witch Craft (Sorcery),0.0,0.0,3,0.45782435851102277,High
Aadhaar Act - Impersonation,0.0,0.0,1,0.05782435851102276,Medium
Aadhaar Act - Offence by Company,0.0,0.0,1,0.05782435851102276,Medium
Aadhaar Act - Offence by individual,0.0,0.0,1,0.05782435851102276,Medium
Aadhar Act - Impersonation,0.0,0.0,1,0.05782435851102276,Medium
Aadhar Act - Offence by Company,1.0,0.08333333333333336,1,0.05797949097355177,Medium
Aadhar Act - Offence by Individual,1.0,-0.05952380952380954,1,0.057772975407440974,Low
Abetment of Suicide (Sec.306 IPC),73.0,-0.8054054054054056,1,0.05919060581270067,Medium
Abetment of Suicide (Sec.306 IPC) - Abetment of Suicide (Sec.306 IPC),16.0,0.0,1,0.058378999294452866,Medium
Abetment of Suicide (Sec.306 IPC/108 BNS),27.0,8.999999999999996,1,0.07177079549804118,Medium
Attempt to Commit Murder for dowry by burning (Sec.307 IPC),0.0,0.0,3,0.45782435851102277,High
Attempt to Commit Murder for dowry by burning (Sec.307 IPC) - Attempt to Commit Murder for dowry by burning (Sec.307 IPC),0.0,0.0,3,0.45782435851102277,High
Attempt to Commit Murder for dowry by burning (Sec.307 IPC/109 BNS),0.0,0.0,3,0.45782435851102277,High
Attempt to Commit Murder for dowry by other means (Sec.307 IPC),12.0,-0.3567567567567568,3,0.45772460833349704,High
Attempt to Commit Murder for dowry by other means (Sec.307 IPC) - Attempt to Commit Murder for dowry by other means (Sec.307 IPC),3.0,0.0,3,0.4579283536579159,High
Attempt to Commit Murder for dowry by other means (Sec.307 IPC/109 BNS),2.0,1.9999999999999996,3,0.46078490653450266,High
Attempt to Commit murder for other reasons,617.0,-2.535714285714286,3,0.4755470424235797,High
Attempt to Commit murder for other reasons - Attempt to Commit murder for other reasons,91.0,0.0,3,0.4609788779667815,High
Attempting to commit offences (Sec.511 IPC/62 BNS) - Attempting to commit offences,170.0,-0.43333333333333357,1,0.06309098628443155,Medium
BONDED LABOUR SYSTEM,4.0,-0.05012531328320805,1,0.057890557104736146,Medium
BONDED LABOUR SYSTEM - INDIAN MOTOR VEHICLE,7.0,0.0,1,0.05806701385377343,Medium
"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC/305,R/W 331(1) TO 331(8), 334(2) BNS) - At Banks",1.0,0.03333333333333333,2,0.257907210525413,Medium
"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC/305,R/W 331(1) TO 331(8), 334(2) BNS) - At Commercial Places / Establishments",28.0,0.26666666666666666,2,0.2591804756054323,Medium
"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC/305,R/W 331(1) TO 331(8), 334(2) BNS) - At Residential Premises",724.0,0.4833333333333335,2,0.28362056495990995,High
"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC/305,R/W 331(1) TO 331(8), 334(2) BNS) - In Other Places",32.0,0.4666666666666668,2,0.2596082575938449,Medium
"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC/305,R/W 331(1) TO 331(8), 334(2) BNS) - In Trains",0.0,0.0,2,0.25782435851102276,Medium
"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC/305,R/W 331(1) TO 331(8), 334(2) BNS) - On Highways",0.0,0.0,2,0.25782435851102276,Medium
"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC/305,R/W 331(1) TO 331(8), 334(2) BNS) - Temple Theft",12.0,0.2833333333333335,2,0.2586499283047151,Medium
"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC/305,R/W 331(1) TO 331(8),334(2) BNS) - At Banks",26.0,0.46666666666666673,2,0.2594002673000586,Medium
"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC/305,R/W 331(1) TO 331(8),334(2) BNS) - At Commercial Places / Establishments",491.0,1.6333333333333337,2,0.27720605885840094,High
"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC/305,R/W 331(1) TO 331(8),334(2) BNS) - At Residential Premises",1747.0,-1.0833333333333335,2,0.3168181226754574,High
"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC/305,R/W 331(1) TO 331(8),334(2) BNS) - In Other Places",355.0,-0.7333333333333335,2,0.2690703376540095,Medium
"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC/305,R/W 331(1) TO 331(8),334(2) BNS) - In Trains",0.0,0.0,2,0.25782435851102276,Medium
"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC/305,R/W 331(1) TO 331(8),334(2) BNS) - On Highways",1.0,-0.05000000000000002,2,0.25778674311184835,Medium
"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC/305,R/W 331(1) TO 331(8),334(2) BNS) - Temple Theft",251.0,2.5166666666666675,2,0.27016340169073444,Medium
"BUYING & SELLING MINOR FOR PROSTITUTION (Sec.372, 373 IPC/98,99 BNS)",0.0,0.0,1,0.05782435851102276,Medium
"CASES OF HURT (Sec. 323 to 335 IPC except 328, 332, 333/115(2) TO 122(2) EXCEPT 121(1),121(2) BNS) - Acid Attack (326(a) IPC/124(1) BNS)",1.0,-0.9999999999999998,3,0.4564134145972116,High
"CASES OF HURT (Sec. 323 to 335 IPC except 328, 332, 333/115(2) TO 122(2) EXCEPT 121(1),121(2) BNS) - Acid Attack (326(a))",7.0,-0.14893617021276595,3,0.45785171039123246,High
"CASES OF HURT (Sec. 323 to 335 IPC except 328, 332, 333/115(2) TO 122(2) EXCEPT 121(1),121(2) BNS) - Attempt to Acid Attack  (326(b) IPC/ 124(2)
BNS",3.0,0.9999999999999998,3,0.45937396262069147,High
"CASES OF HURT (Sec. 323 to 335 IPC except 328, 332, 333/115(2) TO 122(2) EXCEPT 121(1),121(2) BNS) - Attempt to Acid Attack (326(b))",0.0,0.0,3,0.45782435851102277,High
"CASES OF HURT (Sec. 323 to 335 IPC except 328, 332, 333/115(2) TO 122(2) EXCEPT 121(1),121(2) BNS) - Custodial",1.0,-1.791614702062191e-18,2,0.25785902355998713,Medium
"CASES OF HURT (Sec. 323 to 335 IPC except 328, 332, 333/115(2) TO 122(2) EXCEPT 121(1),121(2) BNS) - Grievous Hurt",817.0,-1.5000000000000002,2,0.2839772900707592,High
"CASES OF HURT (Sec. 323 to 335 IPC except 328, 332, 333/115(2) TO 122(2) EXCEPT 121(1),121(2) BNS) - Simple Hurt",11539.0,-5.300000000000001,2,0.6501626310083123,High
"CHEATING (Sec.417 to 420 IPC/318(2)to 318(4), 319(2) BNS)",3783.0,-5.2666666666666675,2,0.381348698205994,High
"CHEATING (Sec.417 to 420 IPC/318(2)to 318(4), 319(2) BNS) - CHEATING (Sec.417 to 420 IPC/318(2)to 318(4), 319(2) BNS)",470.0,0.0,2,0.2741169315242821,High
CHILDREN ACT - Child Labour (Prohibition & Regulation) Act1986,65.0,0.3666666666666668,1,0.06060764331339194,Medium
CHILDREN ACT - Child Marriage (Restraint) Act - 1929,169.0,0.9833333333333334,1,0.0651042672660659,Medium
CHILDREN ACT - Juvenile Justice Act 1986,108.0,-1.2333333333333336,1,0.05978526607841944,Medium
CHILDREN ACT - Probation of offenders Act 1958,0.0,0.0,1,0.05782435851102276,Medium
CHILDREN ACT - Protection of Children from Sexual Offences Act 2012 (POCSO),0.0,0.0,3,0.45782435851102277,High
CINEMATOGRAPHY ACT 1952 - Films,0.0,0.0,1,0.05782435851102276,Medium
CINEMATOGRAPHY ACT 1953 - Video,0.0,0.0,1,0.05782435851102276,Medium
CIVIL RIGHTS - Protection of Civil Rights Act 1955,4.0,-0.016666666666666666,1,0.057938925224167354,Medium
COMMUNAL / RELIGION (Sec. 295 to 297 IPC/298 TO 301 BNS) - Attempt to Commit,3.0,0.08333333333333333,1,0.05804882107148053,Medium
COMMUNAL / RELIGION (Sec. 295 to 297 IPC/298 TO 301 BNS) - Caste Issue,5.0,0.016666666666666666,1,0.058021777238557594,Medium
COMMUNAL / RELIGION (Sec. 295 to 297 IPC/298 TO 301 BNS) - Communal Issue,48.0,0.866666666666667,1,0.06074114196238524,Medium
COMMUNAL / RELIGION (Sec. 295 to 297 IPC/298 TO 301 BNS) - Linguistic Issue,0.0,0.0,1,0.05782435851102276,Medium
COMMUNAL / RELIGION (Sec. 295 to 297 IPC/298 TO 301 BNS) - Others,68.0,0.09999999999999995,1,0.060326142736878266,Medium
COMMUNAL / RELIGION (Sec. 295 to 297 IPC/298 TO 301 BNS) - Political Issue,1.0,0.03333333333333333,1,0.057907210525413,Medium
COMMUNAL / RELIGION (Sec. 295 to 297 IPC/298 TO 301 BNS) - Racial/Ethnic Issue,0.0,0.0,1,0.05782435851102276,Medium
COMMUNAL / RELIGION (Sec. 295 to 297 IPC/298 TO 301 BNS) - Regional Issue,15.0,0.03333333333333335,1,0.05839252121091434,Medium
COMMUNAL / RELIGION (Sec. 295 to 297 IPC/298 TO 301 BNS) - Religious Issue,77.0,-0.19999999999999998,1,0.06020444548872503,Medium
COMMUNAL / RELIGION (Sec. 295 to 297 IPC/298 TO 301 BNS) - Sectarian Issue,0.0,0.0,1,0.05782435851102276,Medium
CONSUMER - Consumer (Protection) Act 1986,8.0,0.06666666666666664,1,0.05819805283358951,Medium
CONSUMER - Essential Commodities Act 1955,536.0,7.283333333333333,1,0.08693367670148006,Medium
CONSUMER - Liquified Petroleum Gas Supply & Control Order 2000,74.0,-0.5333333333333335,1,0.059618580687573364,Medium
CONSUMER - Packaged Commodities (Regulation) order 1975,0.0,0.0,1,0.05782435851102276,Medium
CONSUMER - Prevention of Food Adulternation Act 1954,4.0,-0.15000000000000002,1,0.057746177362463944,Low
COPY RIGHT ACT 1957 - By Company,107.0,-0.8833333333333334,1,0.06025656416642651,Medium
COPY RIGHT ACT 1958 - By Individual,56.0,-0.5166666666666667,1,0.059018703288927415,Medium
"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",2783.0,24.11666666666667,1,0.1891604592645011,Medium
"COUNTERFEITING (Sec. 231 to 263 (A), 489(A) to 489 (E) IPC/178 TO 185 BNS) - Of Coins (Sec 231 to 254 IPC)",0.0,0.0,1,0.05782435851102276,Medium
"COUNTERFEITING (Sec. 231 to 263 (A), 489(A) to 489 (E) IPC/178 TO 185 BNS) - Of Coins (Sec 231 to 254 IPC/ 178 to 181 BNS)",0.0,0.0,1,0.05782435851102276,Medium
"COUNTERFEITING (Sec. 231 to 263 (A), 489(A) to 489 (E) IPC/178 TO 185 BNS) - Of Currency Notes And Bank Notes (Sec 489
(A) To 489 (E) IPC/ 178 to 182 BNS)",9.0,-0.9999999999999998,1,0.05669073498892663,Low
